p:N_excitatory,p:additional_freq,p:initial_freq,p:input_steps,p:learning_rate,p:refrac_e,p:refrac_i,p:rest_steps,p:tau_e2e,p:tau_e2i,p:tau_excitatory,p:tau_i2e,p:tau_i2i,p:tau_inhibitory,p:tau_post_trace,p:tau_pre_trace,p:tau_theta,p:theta_delta,p:theta_init,p:w_ee_colsum,p:w_ei,p:w_ie_over_ei,objective,job_id,m:timestamp_submit,m:timestamp_gather
101,9.12415390721732,58.45544513630327,0.07206790096620783,0.0003614970822344233,0.0004428506147658685,0.0003440167646492474,0.12745625899145063,0.0027998613977490263,3.968599757918496e-05,1.6960079923465496,0.0008454334347603703,8.664174451302835e-05,0.0209902117886082,0.05275562534929189,0.022058975857907854,428.9053008533662,0.00010837036745028413,0.039142976477311055,77.07810456651188,2.713842461371413,8.037411073834159,0.0809219076239261,75,73.31181287765503,172.18543481826782
107,20.35300626419148,23.572882454536195,0.32581805034287814,0.030239421359013918,0.08674819597985065,7.31598298722412e-05,0.14977666793417818,0.002417038997281736,0.00025745919224764915,0.01041285178681952,0.01748995684891522,0.0001603738629651625,0.04684664750027985,0.16945374534582897,0.12253494036553166,18804.915058741,0.00038291395008839405,0.0011289304568924397,69.1017422286678,23.04428658080781,0.42224296043660364,0.06550154875643228,70,54.814658641815186,178.7892451286316
330,27.350051115094807,49.209927414852885,0.24770904507228012,0.0009665414054119275,0.00024368976575210707,0.0322482560094723,0.03813223717295908,0.0009492462184411436,0.0001349136412195052,0.04132958861237791,0.026695823802794828,0.0007921731379100797,0.0016316408409889694,0.013445561234604303,0.0018298767415704832,3991.9707991185655,7.268373535673264e-05,0.003102098151488493,75.290408921826,0.42841569510293004,6.971741943311402,0.038578905933551705,59,0.11202001571655273,203.7472381591797
273,15.067270784934045,15.910137514978702,0.2311393159191076,0.002946485930589069,0.0001733532575929987,0.0015787554928795237,0.124754758582531,0.004104870712324674,0.0012559010607499374,1.0715342409809654,0.05176220833403633,0.00010261638639640727,0.005135384563883104,0.009856684124604087,0.09727934213339426,334.8381649484966,0.00018309963720734122,0.0010465014912898413,53.938201189574514,152.57107507763163,5.121633576049905,0.038578905933551705,68,53.79514408111572,217.4232635498047
396,15.946881087532446,14.694870972426397,0.27128196927864434,0.0005345238640397809,0.0006996982144482953,0.00010321180409968926,0.13122337514875212,3.394880458486438e-05,0.0004477430199644929,0.006650261874110647,0.008223533137440796,0.0005977945230580597,0.0028247672465749876,0.0669394422820059,0.062379758587095775,7375.942500178076,2.2843836248663516e-06,0.0015899635985352498,17.91518738027409,272.4023444835272,0.30130230632302846,0.038578905933551705,88,155.76908087730408,223.7621898651123
249,6.551982294614674,12.97870490902496,0.23442649049565883,0.18596403837795872,0.07906711369851867,0.012439246221122857,0.03224930814510594,0.0005876704817430256,0.00035669546647803716,0.008166663004533977,0.016109227886739953,0.0028804291436039194,0.02306433106170953,0.019989612064356038,0.34944847677638696,36651.58889559733,4.8150184676601294e-05,0.0033993647631569237,26.646940254831886,2.853635788866208,29.083179607317156,0.06550154875643228,53,0.11184096336364746,252.99722909927368
380,28.280868206227357,32.986764406769616,0.3003027648510092,0.0004496772187340899,0.002253379781539823,0.046501229326807496,0.0362695468073731,5.6222370547821415e-05,0.0038097084621225522,0.018214349598807335,0.00034321857143685623,0.00040426668545509754,0.0406124909795067,0.003183736992912625,0.0289039407558166,1895.240167462868,4.511283973588289e-05,0.0023806102370481207,27.8404439032679,11.747511043393844,0.05687593457559256,0.038578905933551705,89,165.2278835773468,256.88919830322266
216,21.161058579701123,18.55280279185039,0.15713501743400773,0.09413246539207523,0.011422232552763067,0.012681424763041628,0.1253843535514592,0.006912827684708398,0.0008865524719361924,1.3181359628110998,0.01784921898170906,0.00029118495486458773,0.03575420977770957,0.22281778680716502,0.2603999451054076,1968.5670179435785,0.0004179473850551475,0.014609148829357117,37.148145717520656,0.5725323052094496,0.14427418416771898,0.06550154875643228,17,0.11072039604187012,336.2671756744385
170,23.955740525741305,30.012330698369855,0.19504342185249254,0.22418423270393145,0.0036982436941209035,0.0005805873467685199,0.04298763513978336,0.016736377349521887,0.0006207223996848473,0.018522059924203426,0.000322134574865378,0.00026416256670529063,0.004765103541138933,0.009931028407614088,0.021417278454980794,27874.3894359109,0.00047438910182727266,0.045840190377029584,63.94239555241351,155.1712829429691,0.6492262315789288,0.06550154875643228,61,30.670379400253296,346.9489846229553
364,13.022142406390016,21.689195047411896,0.3073148653869755,0.0004730757859270362,0.0004771317206663264,0.00042580770213044655,0.13270488007805534,7.03699890198964e-05,0.008478615144766345,1.8844495487210116,0.002776575058186203,0.00024635038037359183,0.0003731524955917097,0.01569008140215753,0.3871594866762544,142198.94593784394,0.0009307189637517773,0.003219667995648916,63.15131716057858,1.9668696017130733,0.08974788104521993,0.038578905933551705,84,128.06080269813538,350.2782578468323
